"query","search interest","increase percent"
"avengers trailer doomsday",100,"30%"
"doomsday trailer",99,"40%"
"trailer",99,"30%"
"avengers doomsday trailer",97,"30%"
"avengers trailer",96,"30%"
"trailer avengers doomsday",95,"20%"
"teaser avengers doomsday",19,"300%"
"avengers doomsday teaser",19,"300%"
"doomsday teaser",18,"300%"
"avengers doomsday movie",11,"-30%"
"avengers movie",9,"-40%"
"marvel avengers doomsday",6,"-50%"
"marvel",6,"-50%"
"avengers doomsday new trailer",4,"-20%"
"avengers new trailer",4,"-20%"
"thor",4,"150%"
"thor avengers doomsday",4,"130%"
"avengers doomsday thor",4,"130%"
"avengers doomsday teaser trailer",4,"170%"
"marvel doomsday trailer",3,"-50%"
"avengers song",3,"-20%"
"marvel avengers doomsday trailer",3,"-50%"
"avengers doomsday cast",3,"80%"
"avengers doomsday trailer 2",2,"-4%"
"endgame",2,"-40%"
"avengers endgame",2,"-40%"
"avengers doomsday trailer thor",2,"170%"
"avengers doomsday thor trailer",2,"200%"
"avengers doomsday trailer official",2,"-60%"
"avengers doomsday official trailer",2,"-60%"
"avengers doomsday trailer 3",2,"-1%"
"avatar",2,"1,750%"
"avengers doomsday spider man",2,"50%"
"avengers new movie",2,"-50%"
"avengers doomsday leaked trailer",2,"Breakout"
"brand new day",2,"Breakout"
"x men",1,"700%"
"dr doom",1,"-70%"
"captain america",1,"-40%"
"avengers secret wars",1,"-80%"
"avengers doomsday release date",1,"-8%"
"avengers doomsday trailer 4",1,"-40%"
"avengers endgame trailer",1,"-40%"
"new movie trailer",1,"-50%"
"iron man",1,"-80%"
"avengers infinity war",1,"-30%"
"infinity war",1,"-30%"
"avengers doomsday thor teaser",1,"Breakout"
"avengers doomsday announcement",1,"-60%"
"avenger",1,"-70%"
